workload,concurrency,batch,writer,result,reason_code,stale_class,latency_ms,batch_wall_ms,batch_db_reads,batch_db_writes
same_dependency,1,0,0,accepted,accepted,none,61.887,72.855,11,5
same_dependency,1,1,0,accepted,accepted,none,26.374,35.4,11,5
same_dependency,1,2,0,accepted,accepted,none,30.299,33.653,11,5
same_dependency,1,3,0,accepted,accepted,none,34.2,39.252,11,5
same_dependency,1,4,0,accepted,accepted,none,29.438,33.696,11,5
same_dependency,2,0,0,accepted,accepted,none,31.375,68.857,20,5
same_dependency,2,0,1,rejected,stale_state_version,true_stale,35.558,68.857,20,5
same_dependency,2,1,0,rejected,stale_state_version,true_stale,36.459,41.347,20,5
same_dependency,2,1,1,accepted,accepted,none,33.506,41.347,20,5
same_dependency,2,2,0,rejected,stale_state_version,true_stale,35.728,47.384,20,5
same_dependency,2,2,1,accepted,accepted,none,31.635,47.384,20,5
same_dependency,2,3,0,rejected,stale_state_version,true_stale,33.045,40.096,20,5
same_dependency,2,3,1,accepted,accepted,none,30.58,40.096,20,5
same_dependency,2,4,0,rejected,stale_state_version,true_stale,28.656,38.471,20,5
same_dependency,2,4,1,accepted,accepted,none,27.886,38.471,20,5
same_dependency,4,0,0,rejected,stale_state_version,true_stale,48.933,96.068,38,5
same_dependency,4,0,1,accepted,accepted,none,39.613,96.068,38,5
same_dependency,4,0,2,rejected,stale_state_version,true_stale,52.939,96.068,38,5
same_dependency,4,0,3,rejected,stale_state_version,true_stale,55.078,96.068,38,5
same_dependency,4,1,0,rejected,stale_state_version,true_stale,42.332,66.152,38,5
same_dependency,4,1,1,accepted,accepted,none,33.119,66.152,38,5
same_dependency,4,1,2,rejected,stale_state_version,true_stale,52.205,66.152,38,5
same_dependency,4,1,3,rejected,stale_state_version,true_stale,41.257,66.152,38,5
same_dependency,4,2,0,rejected,stale_state_version,true_stale,29.296,51.459,38,5
same_dependency,4,2,1,rejected,stale_state_version,true_stale,19.474,51.459,38,5
same_dependency,4,2,2,accepted,accepted,none,17.933,51.459,38,5
same_dependency,4,2,3,rejected,stale_state_version,true_stale,29.221,51.459,38,5
same_dependency,4,3,0,rejected,stale_state_version,true_stale,32.101,55.282,38,5
