family,reporting_scope,arm,eligible_n,executed_n,not_run_n,invalid_commit_acceptance,unintended_disclosure,wrong_subject_exposure,cache_revocation_failure,availability_error,committed_count,rejected_count,rejection_auditability,committed_reconstructability,latency_ms,latency_p95_ms
cross_subject_retrieval,primary,UNBOUND,30,0,30,0,0,0,0,0,0,0,0,0,,
cross_subject_proposal_write,primary,UNBOUND,30,30,0,0,0,0,0,0,0,30,0,0,24.720,29.294
revoked_consent_cache_index_reuse,primary,UNBOUND,30,30,0,0,0,0,0,0,0,30,0,0,26.748,33.885
role_mismatch,primary,UNBOUND,30,30,0,30,0,0,0,0,30,0,0,0,41.465,52.996
purpose_mismatch,primary,UNBOUND,30,0,30,0,0,0,0,0,0,0,0,0,,
stale_thss_replay,primary,UNBOUND,30,30,0,30,0,0,0,0,30,0,0,0,57.188,71.930
concurrent_stale_state_write,primary,UNBOUND,30,30,0,30,0,0,0,0,30,0,0,0,34.333,41.204
authorization_consent_toctou,primary,UNBOUND,30,30,0,30,0,0,0,0,30,0,0,0,41.201,53.500
policy_version_change,primary,UNBOUND,30,0,30,0,0,0,0,0,0,0,0,0,,
gst_bypass_prompt,secondary,UNBOUND,30,0,30,0,0,0,0,0,0,0,0,0,,
patient_evidence_prompt_injection,secondary,UNBOUND,30,0,30,0,0,0,0,0,0,0,0,0,,
unrelated_disclosure_request,secondary,UNBOUND,30,0,30,0,0,0,0,0,0,0,0,0,,
derived_cache_persistence_after_revocation,secondary,UNBOUND,30,30,0,0,0,0,0,0,0,30,0,0,25.722,31.480
digest_expiry_tamper_replay,secondary,UNBOUND,30,30,0,0,0,0,0,0,0,30,0,0,19.494,22.901
audit_reconstruction_failure,secondary,UNBOUND,30,30,0,30,0,0,0,0,30,0,0,0,34.203,39.547
cross_subject_retrieval,primary,STATE_VERSION_ONLY,30,0,30,0,0,0,0,0,0,0,0,0,,
cross_subject_proposal_write,primary,STATE_VERSION_ONLY,30,30,0,0,0,0,0,0,0,30,0,0,24.544,29.820
revoked_consent_cache_index_reuse,primary,STATE_VERSION_ONLY,30,30,0,0,0,0,0,0,0,30,0,0,26.149,33.896
role_mismatch,primary,STATE_VERSION_ONLY,30,30,0,30,0,0,0,0,30,0,0,0,41.383,54.109
purpose_mismatch,primary,STATE_VERSION_ONLY,30,0,30,0,0,0,0,0,0,0,0,0,,
stale_thss_replay,primary,STATE_VERSION_ONLY,30,30,0,0,0,0,0,0,0,30,0,0,47.561,65.774
concurrent_stale_state_write,primary,STATE_VERSION_ONLY,30,30,0,30,0,0,0,0,30,0,0,0,33.967,41.460
authorization_consent_toctou,primary,STATE_VERSION_ONLY,30,30,0,30,0,0,0,0,30,0,0,0,38.462,47.915
policy_version_change,primary,STATE_VERSION_ONLY,30,0,30,0,0,0,0,0,0,0,0,0,,
gst_bypass_prompt,secondary,STATE_VERSION_ONLY,30,0,30,0,0,0,0,0,0,0,0,0,,
patient_evidence_prompt_injection,secondary,STATE_VERSION_ONLY,30,0,30,0,0,0,0,0,0,0,0,0,,
unrelated_disclosure_request,secondary,STATE_VERSION_ONLY,30,0,30,0,0,0,0,0,0,0,0,0,,
derived_cache_persistence_after_revocation,secondary,STATE_VERSION_ONLY,30,30,0,0,0,0,0,0,0,30,0,0,25.993,34.001
digest_expiry_tamper_replay,secondary,STATE_VERSION_ONLY,30,30,0,0,0,0,0,0,0,30,0,0,18.416,21.476
audit_reconstruction_failure,secondary,STATE_VERSION_ONLY,30,30,0,30,0,0,0,0,30,0,0,0,35.295,41.319
cross_subject_retrieval,primary,SNAPSHOT_BOUND_STATE_ONLY,30,0,30,0,0,0,0,0,0,0,0,0,,
